id_no,type,first_name,last_name,company_name,address,city,county,state,country,zip,phone1,phone2,email,web,latest_order,last_order1,last_order2
2001,A,James,Butt,"Benton, John B Jr",6649 N Blue Gum St,New Orleans,Orleans,LA,USA,70116,504-621-8927,504-845-1427,jbutt@gmail.com,http://www.bentonjohnbjr.com,,,
2002,A,Josephine,Darakjy,"Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,Livingston,MI,USA,48116,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,http://www.chanayjeffreyaesq.com,,,
2003,A,Art,Venere,"Chemel, James L Cpa",8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,USA,8014,856-636-8749,856-264-4130,art@venere.org,http://www.chemeljameslcpa.com,,,
2004,A,Lenna,Paprocki,Feltz Printing Service,639 Main St,Anchorage,Anchorage,AK,USA,99501,907-385-4412,907-921-2010,lpaprocki@hotmail.com,http://www.feltzprintingservice.com,,,
2005,A,Donette,Foller,Printing Dimensions,34 Center St,Hamilton,Butler,OH,USA,45011,513-570-1893,513-549-4561,donette.foller@cox.net,http://www.printingdimensions.com,,,
2006,U,Simona,Morasca,"Chapman, Ross E Esq",3 Mcauley Dr,Ashland,Ashland,OH,USA,44805,419-503-2484,419-800-6759,simona@morasca.com,http://www.chapmanrosseesq.com,,,
2007,U,Mitsue,Tollner,Morlong Associates,7 Eads St,Chicago,Cook,IL,USA,60632,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,http://www.morlongassociates.com,,,
2008,A,Leota,Dilliard,Commercial Press,7 W Jackson Blvd,San Jose,Santa Clara,CA,USA,95111,408-752-3500,408-813-1105,leota@hotmail.com,http://www.commercialpress.com,,,
2009,U,Sage,Wieser,Truhlar And Truhlar Attys,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,USA,57105,605-414-2147,605-794-4895,sage_wieser@cox.net,http://www.truhlarandtruhlarattys.com,,,
2010,U,Kris,Marrier,"King, Christopher A Esq",228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,USA,21224,410-655-8723,410-804-4694,kris@gmail.com,http://www.kingchristopheraesq.com,,,
2011,U,Minna,Amigon,"Dorl, James J Esq",2371 Jerrold Ave,Kulpsville,Montgomery,PA,USA,19443,215-874-1229,215-422-8694,minna_amigon@yahoo.com,http://www.dorljamesjesq.com,,,
2012,U,Abel,Maclead,Rangoni Of Florence,37275 St  Rt 17m M,Middle Island,Suffolk,NY,USA,11953,631-335-3414,631-677-3675,amaclead@gmail.com,http://www.rangoniofflorence.com,,,
2013,A,Kiley,Caldarera,Feiner Bros,25 E 75th St #69,Los Angeles,Los Angeles,CA,USA,90034,310-498-5651,310-254-3084,kiley.caldarera@aol.com,http://www.feinerbros.com,,,
2014,U,Graciela,Ruta,Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,USA,44023,440-780-8425,440-579-7763,gruta@cox.net,http://www.buckleymillerwright.com,,,
2015,U,Cammy,Albares,"Rousseaux, Michael Esq",56 E Morehead St,Laredo,Webb,TX,USA,78045,956-537-6195,956-841-7216,calbares@gmail.com,http://www.rousseauxmichaelesq.com,,,
2016,U,Mattie,Poquette,Century Communications,73 State Road 434 E,Phoenix,Maricopa,AZ,USA,85013,602-277-4385,602-953-6360,mattie@aol.com,http://www.centurycommunications.com,,,
2017,U,Meaghan,Garufi,"Bolton, Wilbur Esq",69734 E Carrillo St,Mc Minnville,Warren,TN,USA,37110,931-313-9635,931-235-7959,meaghan@hotmail.com,http://www.boltonwilburesq.com,,,
2018,U,Gladys,Rim,T M Byxbee Company Pc,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,USA,53207,414-661-9598,414-377-2880,gladys.rim@rim.org,http://www.tmbyxbeecompanypc.com,,,
2019,U,Yuki,Whobrey,Farmers Insurance Group,1 State Route 27,Taylor,Wayne,MI,USA,48180,313-288-7937,313-341-4470,yuki_whobrey@aol.com,http://www.farmersinsurancegroup.com,,,
